,Column Labels,,,,,,,,,,,
,LSM,,RTM,,UPM,,(blank),,Total Sum of lynx_volume,Total Average of lynx_volume2,,
Row Labels,Sum of lynx_volume,Average of lynx_volume2,Sum of lynx_volume,Average of lynx_volume2,Sum of lynx_volume,Average of lynx_volume2,Sum of lynx_volume,Average of lynx_volume2,,,,
2,"3,134,895.00","50,562.82",16.00,0.26,475.00,7.66,,,"3,135,386.00","16,856.91",,
3,"3,108,579.00","49,342.52",16.00,0.25,494.00,7.84,,,"3,109,089.00","16,450.21",,
(blank),,,,,,,,,,,,
Grand Total,"6,243,474.00","49,947.79",32.00,0.26,969.00,7.75,,,"6,244,475.00","16,651.93",,
,,,,,,,,,,,,
% change,-0.84%,,0.00%,,4.00%,,,,,,,
,,,,,,,,,,,,
,,,,0.022774327,,,,,,,,
